35,Iridium NEXT Mission 1,2017,2017-01-14T17:54:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
36,CRS-10,2017,2017-02-19T14:39:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
37,EchoStar 23,2017,2017-03-16T06:00:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
38,SES-10,2017,2017-03-30T22:27:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
39,NROL-76,2017,2017-05-01T11:15:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
40,Inmarsat-5 F4,2017,2017-05-15T23:21:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
41,CRS-11,2017,2017-06-03T21:07:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
42,BulgariaSat-1,2017,2017-06-23T19:10:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
43,Iridium NEXT Mission 2,2017,2017-06-25T20:25:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
44,Intelsat 35e,2017,2017-07-05T23:35:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
45,CRS-12,2017,2017-08-14T16:31:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
46,FormoSat-5,2017,2017-08-24T18:50:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
47,Boeing X-37B OTV-5,2017,2017-09-07T13:50:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
48,Iridium NEXT Mission 3,2017,2017-10-09T12:37:00.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
49,SES-11 / Echostar 105,2017,2017-10-11T22:53:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
50,KoreaSat 5A,2017,2017-10-30T19:34:00.000Z,falcon9,Falcon 9,FT,Kennedy Space Center Historic Launch Complex 39A,True,
51,CRS-13,2017,2017-12-15T15:36:00.000Z,falcon9,Falcon 9,FT,Cape Canaveral Air Force Station Space Launch Complex 40,True,
52,Iridium NEXT Mission 4,2017,2017-12-23T01:27:23.000Z,falcon9,Falcon 9,FT,Vandenberg Air Force Base Space Launch Complex 4E,True,
